Region,Year,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Golfo de Nicoya,2013,Camaron Blanco,13964,14229,10445,12186,10412,9579,1125,1102,189,22912,11549,15299,122993
Golfo de Nicoya,2013,Camaron Cafe,0,0,3,147,0,0,3,337,0,0,0,0,490
Golfo de Nicoya,2013,Camaron Rosado,5553,4456,8987,5630,3840,3334,5119,2181,5128,11602,8302,9091,73223
Golfo de Nicoya,2013,Camaron Fidel,151,1253,0,0,0,28,0,0,0,0,0,1577,3009
Golfo de Nicoya,2013,Camaron Camello,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2013,Camaron Real,483,3409,0,1646,3645,0,588,1156,3875,3154,6060,7072,31086
Golfo de Nicoya,2013,Camaron Titi,3847,652,714,1054,1097,868,1118,10,890,4203,8647,2190,25291
Golfo de Nicoya,2013,Langostino,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2013,Langosta Pacifica,276,205,730,431,363,225,209,303,213,333,97,75,3460
Golfo de Nicoya,2013,Langosta Caribe,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2013,Calamar,0,0,56,9,12,26,0,0,0,0,0,0,103
Golfo de Nicoya,2013,Pulpo,0,0,0,0,74,0,28,0,0,0,0,0,102
Golfo de Nicoya,2013,Bivalvos,0,0,0,4,0,532,551,530,530,537,402,405,3490
Golfo de Nicoya,2013,Cambute,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2013,Aleta Tiburon,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2013,Filet,10,44,60,73,19,189,24,0,0,101,78,332,930
Golfo de Nicoya,2013,Buche,0,0,8,0,0,25,0,0,0,0,0,0,33
Golfo de Nicoya,2013,Cangrejo,117,95,29,371,401,312,47,16,1108,4,28,53,2581
Golfo de Nicoya,2013,Tortuga,0,0,0,0,0,0,0,0,0,0,0,0,0
Quepos,2013,Primera Grande,238,255,500,245,655,546,49,106,252,678,26,161,3710
Quepos,2013,Primera Pequena,13672,18753,8776,5655,6522,3727,7767,6670,5586,4256,2407,3884,87676
Quepos,2013,Clasificado,12670,26727,13906,12484,12682,12125,12570,11119,11931,4360,7122,10363,148059
Quepos,2013,Chatarra,15977,26932,15305,10594,17691,10533,15378,20837,18676,12488,11448,9862,185721
Quepos,2013,Agria Cola,1876,3210,4362,3877,2940,1458,4654,6791,4283,2616,332,607,37007
Quepos,2013,Cabrilla,4426,3388,6146,7854,4744,3427,6441,5166,4769,5811,2692,747,55611
Quepos,2013,Pargo,1597,186,8,768,473,2129,3118,470,963,2858,878,16,13465
Quepos,2013,Pargo Seda,7711,3380,1496,3310,12187,8706,1967,2022,1092,527,561,765,43725
Quepos,2013,Dorado,102996,54728,25062,45557,79698,28360,22596,13123,7570,65703,304203,326986,1076582
Quepos,2013,Marlin,211,78,0,61,902,489,713,1767,979,264,926,144,6534
Quepos,2013,Marlin Blanco,7737,13031,17302,31564,87105,129137,103412,62400,51589,44462,6406,11426,565569
Quepos,2013,Marlin Rosado,3266,5299,2494,12139,12600,9329,9371,13413,24135,24089,25097,31240,172472
Quepos,2013,Pez Vela,9163,8421,7935,11770,10282,13210,20943,13082,13083,10161,16297,16245,150590
Quepos,2013,Pez Espada,7530,1081,1635,1894,2457,29757,51717,27929,15834,3322,2459,5661,151275
Quepos,2013,Wahoo,216,78,225,128,449,352,393,415,102,135,407,1045,3944
Quepos,2013,Sardina,0,0,3,0,0,0,0,0,0,0,0,0,3
Quepos,2013,Atun,53195,81288,49603,69181,79558,35959,27041,17320,32104,19940,25999,36593,527781
Quepos,2013,Ballyhoo,0,0,0,0,0,0,0,0,0,0,0,0,0
Quepos,2013,Cazon,29584,63409,47810,34448,19432,15667,29457,43596,36173,36575,24289,48612,429052
Quepos,2013,Posta,12971,17001,27588,22789,14334,8710,12006,22149,16552,9262,4469,4252,172083
Quepos,2013,Maco,25,43,0,0,0,0,0,0,0,0,0,0,68
Quepos,2013,Treacher,1486,3434,5031,10328,13097,14011,26907,18257,19763,12927,3388,3677,132307
Quepos,2013,Camaron Blanco,0,210,949,578,1141,533,609,746,621,260,793,241,6680
Quepos,2013,Camaron Cafe,0,0,0,14,116,0,0,5,45,0,35,0,214
Quepos,2013,Camaron Rosado,9378,21945,17504,12127,20987,16311,30386,12977,23373,15401,18832,14840,214059
Quepos,2013,Camaron Fidel,1035,1849,1543,1679,5728,1309,2571,767,1332,1868,2498,2774,24953
Quepos,2013,Camaron Camello,0,0,1298,0,0,0,0,0,261,0,0,890,2449
Quepos,2013,Camaron Real,0,0,1253,5460,3189,0,0,3473,0,0,0,0,13375
Quepos,2013,Camaron Titi,0,74,32,886,1849,886,1124,2141,1624,1574,4722,962,15874
Quepos,2013,Langostino,264827,182294,101926,132668,160989,134866,87947,62378,30460,0,23127,58617,1240100
Quepos,2013,Langosta Pacifica,0,0,0,2,0,0,0,0,0,5,0,8,14
Quepos,2013,Langosta Caribe,0,0,0,0,0,0,0,0,0,0,0,0,0
Quepos,2013,Calamar,0,0,123,0,170,0,493,0,89,321,0,0,1196
Quepos,2013,Pulpo,0,0,0,0,0,0,0,0,0,0,0,0,0
Quepos,2013,Bivalvos,0,0,0,0,0,125,1059,275,516,304,273,275,2827
Quepos,2013,Cambute,0,0,0,0,0,0,0,0,0,0,0,0,0
Quepos,2013,Aleta Tiburon,1906,3107,3337,2793,3685,2026,3105,3082,3108,2408,996,1863,31418
Quepos,2013,Filet,0,3,0,0,0,0,0,0,0,22,0,0,25
Quepos,2013,Buche,0,0,1,0,0,0,0,0,0,0,0,0,1
Quepos,2013,Cangrejo,0,0,30,0,0,0,0,238,172,0,54,0,494
Quepos,2013,Tortuga,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfito,2013,Primera Grande,0,5,16,28,148,0,0,21,152,39,4,0,413
Golfito,2013,Primera Pequena,1627,2813,1389,2067,6224,5441,2786,2249,2731,4519,5977,7024,44847
Golfito,2013,Clasificado,18931,11269,10767,1889,270,1061,1159,821,1357,2008,607,844,50983
Golfito,2013,Chatarra,110,275,325,167,194,393,159,284,126,649,181,1011,3873
Golfito,2013,Agria Cola,2,66,155,36,65,8,25,35,45,53,154,19,662
Golfito,2013,Cabrilla,2269,656,2122,337,556,1283,898,1189,2605,557,362,671,13505
Golfito,2013,Pargo,0,1363,48,129,0,45,2,39,58,190,0,0,1872
Golfito,2013,Pargo Seda,106,225,313,219,993,96,1120,686,204,2082,2961,2341,11344
Golfito,2013,Dorado,67996,28086,7900,51682,60742,12693,2912,3337,2067,5153,20154,56006,318728
Golfito,2013,Marlin,0,117,156,69,511,570,76,276,0,30,122,632,2558
Golfito,2013,Marlin Blanco,697,2547,2823,3169,5241,20869,3356,640,2736,1444,597,82,44201
Golfito,2013,Marlin Rosado,307,1119,1216,1759,1168,2630,936,1779,2067,1028,1055,1792,16858
Golfito,2013,Pez Vela,2774,2440,1234,2099,1326,2470,2782,556,862,429,575,1348,18895
Golfito,2013,Pez Espada,17003,6696,2096,11567,872,15317,18213,29655,374,5077,1781,811,109462
Golfito,2013,Wahoo,55,53,36,0,0,128,0,31,0,0,20,0,322
Golfito,2013,Sardina,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfito,2013,Atun,31502,13858,12183,27732,13737,12587,5903,9347,4274,9490,1994,1978,144586
Golfito,2013,Ballyhoo,1842,836,350,263,44,44,0,800,571,506,1824,2603,9681
Golfito,2013,Cazon,3486,13126,24024,19205,9254,13609,11483,18454,10905,5924,1646,3828,134942
Golfito,2013,Posta,3200,8736,13106,10789,4014,21329,11477,10433,6026,2680,1577,1721,95087
Golfito,2013,Maco,0,33,0,0,0,103,0,70,0,0,0,0,206
Golfito,2013,Treacher,51,1874,6229,2284,3596,9045,608,1007,4007,759,0,55,29514
Golfito,2013,Camaron Blanco,0,0,0,0,0,0,10,117,10,15,0,0,151
Golfito,2013,Camaron Cafe,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfito,2013,Camaron Rosado,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfito,2013,Camaron Fidel,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfito,2013,Camaron Camello,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfito,2013,Camaron Real,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfito,2013,Camaron Titi,0,0,0,0,0,0,68,0,52,19,0,0,138
Golfito,2013,Langostino,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfito,2013,Langosta Pacifica,0,0,0,0,0,0,0,4,0,4,0,0,7
Golfito,2013,Langosta Caribe,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfito,2013,Calamar,0,0,0,0,0,0,0,0,0,2,0,0,2
Golfito,2013,Pulpo,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfito,2013,Bivalvos,0,0,0,0,0,241,315,305,232,311,3,0,1406
Golfito,2013,Cambute,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfito,2013,Aleta Tiburon,243,771,745,590,236,1922,102,615,95,104,138,216,5778
Golfito,2013,Filet,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfito,2013,Buche,7,1,0,0,0,0,1,2,8,2,2,5,27
Golfito,2013,Cangrejo,0,0,0,0,0,0,13,0,13,0,0,0,26
Golfito,2013,Tortuga,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Primera Grande,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Primera Pequena,0,830,300,0,158,656,60,0,110,0,0,0,2114
Mar Caribe,2013,Clasificado,11601,8389,2127,6348,5548,4011,2793,3876,3885,1663,5377,5171,60789
Mar Caribe,2013,Chatarra,823,601,540,110,135,290,334,57,55,236,132,9,3322
Mar Caribe,2013,Agria Cola,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Cabrilla,6,78,171,0,21,70,24,0,120,5,326,0,821
Mar Caribe,2013,Pargo,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Pargo Seda,12410,6296,2955,5656,7691,9495,10439,9214,11765,13137,11013,10480,110550
