scenario,gamma,alpha,lambda,effortcert
156,0.25,0.99,0.06,0.9
157,0.3,0.99,0.06,0.9
158,0.35,0.99,0.06,0.9
159,0.4,0.99,0.06,0.9
160,0.45,0.99,0.06,0.9
161,0.5,0.99,0.06,0.9
162,0.55,0.99,0.06,0.9
163,0.6,0.99,0.06,0.9
164,0.65,0.99,0.06,0.9
165,0.7,0.99,0.06,0.9
166,0.75,0.99,0.06,0.9
167,0.8,0.99,0.06,0.9
168,0.85,0.99,0.06,0.9
169,0.9,0.99,0.06,0.9
170,0.95,0.99,0.06,0.9
171,1,0.99,0.06,0.9
172,0.1,0.99,0.06,0.95
173,0.15,0.99,0.06,0.95
174,0.2,0.99,0.06,0.95
175,0.25,0.99,0.06,0.95
176,0.3,0.99,0.06,0.95
177,0.35,0.99,0.06,0.95
178,0.4,0.99,0.06,0.95
179,0.45,0.99,0.06,0.95
180,0.5,0.99,0.06,0.95
181,0.55,0.99,0.06,0.95
182,0.6,0.99,0.06,0.95
183,0.65,0.99,0.06,0.95
184,0.7,0.99,0.06,0.95
185,0.75,0.99,0.06,0.95
186,0.8,0.99,0.06,0.95
187,0.85,0.99,0.06,0.95
188,0.9,0.99,0.06,0.95
189,0.95,0.99,0.06,0.95
190,1,0.99,0.06,0.95
191,0.1,0.99,0.06,1
192,0.15,0.99,0.06,1
193,0.2,0.99,0.06,1
194,0.25,0.99,0.06,1
195,0.3,0.99,0.06,1
196,0.35,0.99,0.06,1
197,0.4,0.99,0.06,1
198,0.45,0.99,0.06,1
199,0.5,0.99,0.06,1
200,0.55,0.99,0.06,1
201,0.6,0.99,0.06,1
202,0.65,0.99,0.06,1
203,0.7,0.99,0.06,1
204,0.75,0.99,0.06,1
205,0.8,0.99,0.06,1
206,0.85,0.99,0.06,1
207,0.9,0.99,0.06,1
208,0.95,0.99,0.06,1
209,1,0.99,0.06,1
